driverId,week,hours-logged,miles-logged
85,51,67,800
59,39,50,200
104,24,59,900
15,14,59,3400
46,46,54,800
105,22,65,3100
17,32,67,2000
62,20,50,3900
30,50,51,1600
18,18,53,700
69,19,72,4000
52,50,56,2000
42,30,66,1900
35,3,66,100
54,23,69,500
71,45,55,3200
28,35,55,3100
92,52,63,1100
83,46,64,1400
35,21,55,2500
106,45,57,600
71,43,57,3100
26,11,66,700
100,31,72,2500
22,5,55,100
52,10,53,2700
33,46,55,3600
38,27,80,1900
42,33,70,300
64,2,59,3400
14,8,66,2400
55,24,60,900
55,16,65,1500
89,31,54,1100
78,51,54,1700
74,4,55,900
45,14,71,2300
88,12,76,400
80,12,61,200
43,27,55,2400
97,25,78,1000
93,27,64,1400
85,13,57,1100
47,9,60,1900
109,22,68,1300
31,10,65,4000
56,1,74,1800
42,6,59,1100
88,48,62,2000
79,8,57,2300
87,3,78,300
81,39,66,2400
74,47,73,1000
64,18,51,1400
91,14,59,2500
16,38,74,3900
93,50,80,300
42,38,72,3700
33,47,80,2200
107,42,56,3800
71,37,64,1600
51,43,56,1400
42,41,64,2100
89,28,73,2500
106,50,51,4000
81,47,66,1600
99,7,68,2700
80,1,73,3300
94,31,50,400
24,50,65,1800
99,27,51,1100
109,34,69,3900
108,37,80,600
68,16,74,500
102,12,52,3200
69,2,62,1200
27,2,52,1700
75,2,52,400
87,16,70,900
42,5,79,2700
82,50,63,2700
55,2,74,3200
74,49,60,2500
40,19,50,2200
87,33,52,1600
48,39,64,1500
38,5,71,2800
56,24,74,1800
68,6,55,3800
67,28,72,1900
108,32,75,2700
67,45,51,500
82,46,80,3900
23,52,55,0
83,27,64,2300
60,47,77,4000
18,39,57,3000
35,12,79,3200
91,29,80,200
79,14,79,2800
43,30,75,2900
50,4,72,100
27,10,73,700
64,36,74,200
61,16,72,3600
36,3,50,3100
81,25,70,2100
31,5,53,700
78,23,53,3900
79,35,66,800
40,26,76,2800
30,10,62,2600
104,17,52,3600
87,47,50,4000
12,41,52,3300
54,29,67,2400
27,12,72,200
72,15,67,3700
24,46,68,800
97,2,64,1700
83,52,53,3300
35,35,69,2000
109,21,59,2100
85,31,77,2800
21,4,55,100
89,5,78,1000
65,45,56,1000
52,8,62,2900
94,25,73,500
72,7,71,3700
61,23,58,4000
20,32,80,3100
88,4,50,400
10,42,68,900
103,18,59,3300
53,46,50,2400
15,7,74,3400
35,38,51,2800
106,46,72,2900
80,5,60,3800
38,11,71,100
59,40,74,0
42,13,78,2000
99,33,62,3200
71,2,51,3400
41,23,76,1200
107,11,69,700
96,17,73,1500
103,3,58,1600
38,10,50,3400
42,26,70,2300
60,25,77,2500
73,21,58,500
69,43,78,2200
56,4,78,1500
24,48,67,100
74,13,70,800
54,27,51,1200
50,5,56,400
88,36,58,2100
98,34,55,1900
24,40,69,100
73,7,52,1000
13,11,63,2000
41,44,70,3900
85,20,78,3800
66,35,60,600
56,10,52,1000
25,28,58,3700
11,22,75,4000
24,31,52,1600
29,51,60,1400
13,32,50,2000
90,19,64,1900
34,33,66,2500
43,44,65,800
50,33,60,3400
70,46,51,3600
57,36,70,2000
78,32,66,0
98,45,74,1800
89,37,56,1100
109,33,50,3000
47,21,64,100
80,38,66,3900
107,39,57,2900
93,1,56,2000
55,7,50,500
99,13,60,2000
44,5,70,1800
19,18,50,2000
26,36,62,2000
94,28,59,1300
81,22,63,1100
83,11,66,800
93,24,72,2400
44,43,59,3300
15,10,74,1200
88,21,69,2800
65,40,73,3200
79,18,75,600
23,32,58,200
22,21,69,3100
77,27,74,2500
69,8,74,1400
30,40,60,1000
17,45,51,2000
65,9,59,300
75,16,70,1200
77,21,67,1500
43,52,73,2600
107,3,65,100
81,29,68,2700
70,40,52,2800
46,33,77,1600
65,43,52,2800
71,12,78,3500
68,3,58,2100
78,23,62,2200
10,1,65,3700
41,15,66,1400
59,34,68,700
34,24,58,1200
14,9,72,700
87,31,59,400
58,47,55,3000
96,10,60,3200
37,23,78,3800
101,45,55,1200
62,5,79,1700
11,18,60,1000
62,16,66,2400
10,37,60,3400
14,48,52,1900
64,27,56,1100
94,21,69,3600
48,25,59,1700
104,11,76,1900
91,9,59,3200
100,6,59,100
14,24,79,2500
38,10,64,1700
79,10,51,3200
27,19,78,700
89,33,64,1300
47,26,65,1600
50,44,55,2700
92,43,52,300
23,42,56,2600
45,51,62,2200
25,32,67,1000
105,47,76,300
102,21,55,2900
95,29,70,400
99,5,77,1800
51,15,70,2700
48,47,55,2400
90,33,55,1100
106,52,65,1000
106,4,78,3100
55,32,60,300
105,20,50,2600
94,23,51,2600
55,52,50,2600
63,45,52,1200
71,39,76,1400
74,27,50,3900
12,17,50,4000
94,23,50,300
78,41,80,1600
78,31,64,2000
79,37,58,100
50,44,50,1100
79,26,69,1900
23,37,55,500
19,49,72,1000
90,26,57,3500
68,20,80,3500
71,41,69,3200
40,41,54,2000
94,43,60,2600
109,28,55,1300
36,20,55,800
96,44,75,1900
10,13,55,2100
28,5,62,1700
23,36,67,2300
51,4,63,400
26,1,62,2200
96,11,70,100
75,52,68,2200
92,50,65,2400
83,8,54,2100
35,52,56,1800
89,22,51,1200
21,22,50,3800
21,52,68,1700
76,20,68,600
96,49,75,2900
33,6,70,1600
55,26,73,1800
106,9,77,2300
56,34,62,2500
109,2,64,1000
11,19,79,0
108,15,67,3900
56,47,59,2100
103,16,62,2400
67,2,53,1500
32,11,53,2800
45,42,67,3100
61,22,51,1500
106,49,63,3900
29,35,57,1200
101,12,68,2000
106,37,67,700
20,42,65,3300
27,48,73,2600
17,48,60,1700
86,11,80,4000
40,49,68,700
94,33,57,1000
46,30,65,600
58,20,69,1300
65,33,75,500
34,18,78,1100
92,33,56,1600
108,41,54,3100
62,33,77,2700
18,34,53,1600
57,42,50,1700
54,17,57,1300
88,15,77,3800
40,29,68,400
105,31,77,3200
40,12,73,3600
23,6,59,900
82,27,69,1900
69,44,63,3600
55,45,74,2300
90,10,54,300
68,3,64,2500
85,19,63,3000
22,3,68,1000
29,10,67,3000
106,37,57,3400
108,31,71,3800
19,36,78,3400
33,22,75,1700
30,6,59,2800
22,10,71,1700
50,12,75,3400
51,3,58,2000
53,5,57,3900
54,6,53,2700
58,8,75,900
105,25,64,400
59,19,58,500
29,24,67,500
50,48,78,900
54,42,68,4000
38,10,60,1100
58,18,61,600
40,50,73,1600
101,35,75,3600
56,48,57,2300
47,12,78,300
60,17,68,1400
30,37,52,3300
51,25,62,3100
64,48,53,3100
15,14,65,1700
11,35,53,3500
31,3,64,0
86,24,59,3000
84,44,78,1200
28,5,63,1000
98,49,56,1200
97,8,70,2500
34,35,54,400
35,20,78,500
22,20,80,1200
72,44,77,1800
32,50,69,0
91,25,75,500
63,36,76,3300
106,37,67,1500
14,13,74,4000
102,42,58,2700
59,21,59,400
58,50,55,3600
90,19,76,500
68,35,65,3100
11,39,80,3400
70,8,67,2500
94,21,71,2100
30,9,71,2700
105,11,62,1500
12,50,71,2000
14,8,59,400
25,38,67,2100
38,24,52,1800
54,3,55,3100
49,21,78,2100
77,37,52,1800
70,47,52,1000
70,37,64,700
48,29,54,1300
81,52,53,800
50,33,53,700
81,28,51,2400
95,34,70,3000
32,10,78,1300
49,39,77,900
106,42,71,3800
96,26,55,700
52,16,65,3200
17,14,79,2800
77,47,53,900
59,31,69,3600
62,3,72,1800
43,17,51,3900
80,27,60,1000
52,7,67,3200
98,12,69,1600
31,52,54,3200
63,41,69,3400
84,33,60,1400
107,13,58,500
73,20,67,800
91,30,77,2800
76,39,74,400
42,31,54,1400
14,8,75,500
11,40,62,3600
66,12,69,2600
93,32,56,3900
93,30,77,1400
52,5,61,100
86,18,59,3700
53,45,67,1900
73,43,73,2400
18,41,56,3900
64,28,50,900
25,21,53,2300
85,50,69,0
29,17,79,3600
71,38,79,2800
29,5,59,1600
67,37,76,3200
68,29,74,4000
17,47,74,2600
72,7,70,2500
50,47,58,1300
88,14,71,200
47,45,62,1900
45,10,51,3500
88,23,65,100
53,36,58,3500
81,6,69,100
63,51,62,500
42,20,51,3300
47,1,70,1100
88,24,68,2000
97,8,73,1600
57,4,75,3900
81,21,56,3900
24,37,66,3200
85,28,54,2000
23,24,72,700
63,6,73,100
52,17,63,1000
61,10,66,3900
68,48,61,100
86,45,69,3100
104,38,53,3200
50,24,64,500
91,10,59,3200
96,46,69,2000
19,8,64,0
22,2,62,1500
63,50,54,2900
32,12,71,1400
71,4,57,2100
17,34,78,2400
42,49,74,2500
30,36,69,2400
97,52,56,3100
19,5,58,1200
57,18,76,800
101,4,57,900
13,7,50,200
41,36,51,2200
12,39,70,2100
56,34,74,1300
11,44,55,2000
47,13,61,2300
64,30,69,2300
71,31,50,1300
48,20,76,200
98,21,60,600
100,51,53,4000
42,27,66,3700
89,29,68,2400
52,42,78,700
87,4,58,600
78,49,58,1400
98,9,56,2800
104,45,74,3000
27,43,76,0
103,13,54,2100
72,37,55,1600
36,18,67,3100
100,11,55,200
30,27,66,2600
26,36,58,3700
51,14,65,3100
31,8,66,3000
27,20,52,1700
31,32,73,2300
15,17,66,3700
21,48,52,2400
101,36,78,3600
37,10,74,1700
58,31,66,3100
100,15,79,800
76,37,79,2500
60,9,78,800
102,21,75,900
83,16,58,3900
24,8,63,1700
13,25,67,900
79,38,52,1200
108,4,67,2900
15,40,63,0
31,7,64,0
97,42,65,3100
14,40,57,2400
45,9,64,3800
86,17,54,0
73,26,76,1900
19,16,79,600
66,45,64,800
19,3,66,3400
55,37,59,3200
21,13,61,2100
41,14,61,2900
36,36,61,900
20,21,73,3200
10,7,77,2700
101,7,58,3400
95,49,77,1900
35,13,78,700
108,41,54,3500
24,31,50,1200
24,28,63,3500
69,13,80,800
86,39,53,0
66,9,54,600
56,19,55,1300
30,25,59,2800
69,30,71,3500
17,43,80,400
54,27,51,200
60,39,53,2400
107,39,70,1000
18,18,78,200
43,11,54,2600
39,35,73,3100
71,22,58,3500
55,51,76,700
17,39,74,3100
91,16,62,3600
88,21,66,1100
70,27,60,3400
68,44,52,2800
71,17,72,1300
53,38,68,1300
65,33,76,2900
99,21,62,4000
73,41,68,3300
62,3,78,2800
53,18,54,2400
25,10,78,1500
20,6,76,600
27,42,70,2400
68,36,62,2000
83,23,60,100
97,37,58,1100
96,52,76,3900
54,15,62,3500
55,52,67,400
94,15,57,1400
108,17,80,3800
82,52,75,1000
57,31,75,1100
31,26,59,2900
45,34,55,3300
28,9,54,3800
69,26,61,1100
36,34,63,2800
71,35,75,2700
47,5,70,1000
56,51,51,2600
64,9,80,3800
63,51,53,2000
47,46,51,3700
71,38,67,4000
76,1,71,1600
76,45,80,2400
29,30,65,1100
14,28,53,1000
96,38,76,700
99,37,60,0
82,50,50,3500
89,4,69,1700
108,6,65,800
59,20,53,2100
28,1,77,100
34,29,66,2200
20,2,65,2200
107,24,77,900
56,31,57,1700
44,4,65,3600
80,31,66,0
108,24,60,2800
99,9,61,1600
92,47,52,400
23,1,73,2500
53,12,63,1200
22,2,55,300
48,32,75,1100
74,28,51,1900
91,36,51,2600
77,10,52,0
104,15,72,2600
107,42,65,0
53,33,60,2700
25,34,65,500
41,13,50,2100
38,36,66,3900
64,12,77,3800
65,51,67,2200
84,40,63,1500
29,30,67,400
88,27,50,2700
19,27,62,1500
107,1,51,2500
33,33,52,1300
83,32,62,600
22,50,62,1700
17,34,75,1600
43,18,58,2300
81,7,61,2000
98,35,73,3800
65,43,65,2100
19,48,70,2200
49,26,54,1000
23,20,50,2800
12,18,66,2700
39,26,50,1600
26,19,67,3800
52,46,79,1700
42,26,76,500
42,32,65,500
85,31,80,0
47,32,70,200
60,48,77,3800
103,5,68,3000
98,33,78,4000
98,33,70,3500
79,21,72,200
45,47,70,3900
108,5,64,4000
48,27,61,3400
67,41,73,0
31,16,79,2300
16,35,75,2700
45,17,76,4000
18,5,55,900
68,21,74,2400
60,45,60,3600
25,44,53,2300
109,21,69,3700
71,49,55,3500
95,47,61,3100
81,52,67,1800
69,12,63,100
60,11,62,2500
40,41,69,1300
96,23,66,2900
95,52,76,100
38,29,71,2000
62,9,80,1800
36,2,65,900
36,24,62,1600
12,27,59,2300
11,38,74,300
91,30,62,2100
75,52,64,700
81,48,50,0
30,20,80,1200
54,6,76,2200
26,51,73,2700
106,14,63,100
75,14,52,1400
19,33,69,200
62,18,76,500
36,18,51,300
109,50,52,0
64,48,70,2300
29,21,63,2000
21,29,66,800
13,35,57,1900
55,40,62,1100
38,21,80,2100
31,29,56,1200
36,52,53,1100
41,49,55,2900
88,43,62,2200
76,43,70,1700
32,37,62,900
19,40,53,1800
71,37,68,1900
31,1,52,3400
25,7,62,100
79,40,60,2900
66,24,65,3700
54,38,77,3200
92,37,80,2400
31,9,59,1500
64,51,50,400
11,1,58,100
79,26,54,2800
47,33,56,700
103,5,73,2900
22,49,64,400
25,39,64,2400
44,8,63,2700
38,40,76,2300
28,14,63,3500
17,42,69,1200
106,30,70,3900
28,1,53,2700
27,38,76,3500
55,47,57,4000
70,47,60,0
63,8,67,2100
97,23,52,2000
22,24,56,500
92,6,61,2400
35,39,51,3600
74,15,61,2100
43,52,63,1600
17,52,80,1400
15,14,51,2300
73,17,59,400
16,6,71,200
21,46,50,4000
78,37,70,1900
57,25,64,3800
58,26,51,3300
95,21,63,2600
60,46,76,3500
78,6,61,1900
32,12,65,300
30,48,63,1600
60,24,75,2700
35,39,52,3400
61,33,59,3700
23,8,71,600
85,37,74,3500
67,20,59,500
99,41,72,300
21,37,67,1000
17,13,79,3800
35,12,75,2800
90,14,78,1400
21,9,50,3400
43,49,61,2200
74,48,74,2800
21,35,50,2200
11,7,51,4000
41,49,77,3100
39,17,74,1200
65,22,62,900
46,37,70,400
103,25,78,1100
14,8,65,2300
59,41,76,3200
88,26,58,3400
19,30,68,2200
103,47,63,3500
108,25,74,1200
18,48,68,100
73,11,67,3400
14,30,59,1800
39,17,50,2100
59,17,64,1500
50,41,70,1900
101,42,72,2900
78,21,73,2800
61,40,73,600
71,3,78,3600
51,49,79,3200
63,12,80,700
79,12,52,1600
109,12,60,2300
75,44,68,4000
41,15,75,100
47,27,63,3100
108,23,56,1800
50,41,72,3400
42,7,57,200
27,25,61,500
43,40,58,1400
106,18,77,1200
70,6,69,3600
45,21,78,2000
80,22,51,2500
86,29,79,2100
17,21,57,600
86,45,72,2100
98,38,69,2600
87,40,63,1200
15,27,61,1400
23,50,52,2300
15,45,68,2800
41,26,59,2300
32,49,76,300
45,10,71,1800
63,24,59,1900
35,25,62,3100
19,28,78,3000
90,44,61,2100
100,27,79,3000
37,46,63,1300
59,41,59,1200
45,25,70,900
78,14,76,2600
19,13,63,800
16,17,52,2100
81,26,78,100
11,40,58,1200
27,36,57,1000
